tweet_id,created_at,from_user_id,text,in_reply_to_status_id,to_user_id,location
6.25E+17,2015-07-25 00:24:24.000000 UTC,1557392298,RT @hellokaty: bai huntington http://t.co/gJ9CfCRuJI,,,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,138294089,"RT @deanpet74: All the action from Caulfield CH78 from 11.30am, @Globalgallop @JaseRicho @GatorGately @cdsymons big program the feature Ble…",,,USA
6.25E+17,2015-07-25 00:24:24.000000 UTC,1659087428,@chalifromcali @veewxyz one more mf sleep yo!,6.24E+17,617068056,USA
6.25E+17,2015-07-25 00:24:25.000000 UTC,53207709,@Illithyia Happy Birthday!!! 💐💐,,23530439,USA
6.25E+17,2015-07-25 00:24:25.000000 UTC,478433073,Great game by the #UQFC #U9 #Rubies vs Taringa's Frilly Necks this morning. Kept possession most of… https://t.co/7NLW9L5pAL,,,USA
6.25E+17,2015-07-25 00:24:25.000000 UTC,1180474214,New post: Fanelle: Female Apprentice Network Australia http://t.co/eoarOib5Sl,,,USA
6.25E+17,2015-07-25 00:24:25.000000 UTC,302350461,@tongotongoz You've got my attention! :),6.25E+17,762605796,USA
6.25E+17,2015-07-25 00:24:25.000000 UTC,378273172,"RT @AristtleQuotes: In medicine this [the good] is health; in strategy, victory; in architecture - a building- different things in differen…",,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,182218783,"~Some more beauties left the nest this week, making their way to Soho Boutique Bendigo 󾆢󾆢󾆢 http://t.co/YamLxleSLy",,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,335847011,RT @neilvdp: Met the man behind the butter yesterday! One tasty lunch 👌. @Europcar_AU @AvantiRacing @ShimanoOZ @pioneercyclo http://t.co/ga…,,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,200291228,"RT @PartyAtSpago: Join Craig &amp; Nige today from 4pm for another hilarious episode of Post Party at Spago's, live and exclusive on... http://…",,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,291239811,RT @robbyears: imagina se toda a comida do mundo fosse de graça e vc nao engordasse nunca,,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,568981853,"RT @1800WestMadison: The last basketball game played at The Stadium. Pips Ameritech classic on Sept 9, 1994. MJ bids farewell at mid court …",,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,25423288,"RT @gripgirl: Counter factual history - where ""what if?"" Becomes "" if only?"" #HTASC15 @RichardEvans36",,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,22681680,Ready for a beautiful day sydlivmus #rousehillhouseandfarm Toy Festival https://t.co/oj59GiqqPu,,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,290970560,dreaming so much lately,,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,190146719,@rsquires what's revealing is their lack of concern that after 6 weeks I don't feel any closer to a fix,6.25E+17,11748292,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,730772060,RT @jacindalizama: The tomorrow land snapstory......💔😭,,,USA
6.25E+17,2015-07-25 00:24:26.000000 UTC,1731795356,RT @girishjohar: Super Exclusive!! #BajrangiBhaijaan will exactly match #PK record of achieving 200crs in just 9 days !! @BeingSalmanKhan .…,,,USA
6.25E+17,2015-07-25 00:24:27.000000 UTC,1899116833,What Skills Are Necessary to Be a Great Content Marketer? http://t.co/Br7t8KahqX via @cmicontent #contentmarketing #marketing,,,USA
6.25E+17,2015-07-25 00:24:27.000000 UTC,170238260,@amberspirit12 that's very strange.,6.25E+17,273989686,USA
6.25E+17,2015-07-25 00:24:27.000000 UTC,29172596,@Jaclynhill what is your biggest piece of advice for someone just starting their diploma in make up?? I'm in my second week. And Anxious!!,,369238299,USA
6.25E+17,2015-07-25 00:24:27.000000 UTC,14280549,2. dalga Kuzey Irak'ta PKK'ya:  http://t.co/N3Gz6hJr2p,,,USA
6.25E+17,2015-07-25 00:24:27.000000 UTC,22337121,Watching a Ducktails clip and there's just Mac DeMarco chilling out for some reason,,,USA
6.25E+17,2015-07-25 00:24:27.000000 UTC,263893410,"RT @GirlsGotGame1: Last week's winner, Alannah Chatfield from Hawthorn. Congratulations again Alannah. http://t.co/ORgFvcsZzb",,,USA
6.25E+17,2015-07-25 00:24:27.000000 UTC,327767560,Stop using my name; me &amp; all of the other real hip hoppers name who are NOT PERFORMING in an upcoming concert... http://t.co/Q6EpT0PT0p,,,USA
6.25E+17,2015-07-25 00:24:27.000000 UTC,1124693942,Great day for the markets at Salamanca #Hobart #coffee http://t.co/eEcN98WRUT,,,USA
6.25E+17,2015-07-25 00:24:27.000000 UTC,585586447,#satchatoc https://t.co/W74KuwnYwr,,,USA
